impurity,epsilon,p,delta_a,delta_b,v_a,v_b,v_diff,curvature,exact_margin,predicted_margin,absolute_error,relative_error
restricted_quadratic_global,0.15,0.35,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.79120879120879,0.0013186813186812918,0.0013186813186813187,2.688821387764051e-17,2.0390228857211136e-14
restricted_quadratic_global,0.15,0.35,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.79120879120879,0.008241758241758212,0.008241758241758242,2.949029909160572e-17,3.5781562897815065e-15
restricted_quadratic_global,0.15,0.35,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.79120879120879,0.021098901098901113,0.0210989010989011,1.3877787807814457e-17,6.577493179745389e-16
restricted_quadratic_global,0.15,0.4,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.79120879120879,0.0013186813186812918,0.0013186813186813187,2.688821387764051e-17,2.0390228857211136e-14
restricted_quadratic_global,0.15,0.4,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.79120879120879,0.008241758241758212,0.008241758241758242,2.949029909160572e-17,3.5781562897815065e-15
restricted_quadratic_global,0.15,0.4,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.79120879120879,0.021098901098901113,0.0210989010989011,1.3877787807814457e-17,6.577493179745389e-16
restricted_quadratic_global,0.15,0.45,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.79120879120879,0.0013186813186812918,0.0013186813186813187,2.688821387764051e-17,2.0390228857211136e-14
restricted_quadratic_global,0.15,0.45,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.79120879120879,0.008241758241758212,0.008241758241758242,2.949029909160572e-17,3.5781562897815065e-15
restricted_quadratic_global,0.15,0.45,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.79120879120879,0.021098901098901224,0.0210989010989011,1.249000902703301e-16,5.9197438617708195e-15
restricted_quadratic_global,0.15,0.5,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.79120879120879,0.0013186813186814028,0.0013186813186813187,8.413408858487514e-17,6.380168384352625e-14
restricted_quadratic_global,0.15,0.5,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.79120879120879,0.008241758241758212,0.008241758241758242,2.949029909160572e-17,3.5781562897815065e-15
restricted_quadratic_global,0.15,0.5,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.79120879120879,0.021098901098901002,0.0210989010989011,9.71445146547012e-17,4.6042452258217965e-15
restricted_quadratic_global,0.15,0.55,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.79120879120879,0.0013186813186812918,0.0013186813186813187,2.688821387764051e-17,2.0390228857211136e-14
restricted_quadratic_global,0.15,0.55,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.79120879120879,0.008241758241758323,0.008241758241758242,8.153200337090993e-17,9.892549742336973e-15
restricted_quadratic_global,0.15,0.55,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.79120879120879,0.021098901098901113,0.0210989010989011,1.3877787807814457e-17,6.577493179745389e-16
restricted_quadratic_global,0.15,0.6000000000000001,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.79120879120879,0.0013186813186814028,0.0013186813186813187,8.413408858487514e-17,6.380168384352625e-14
restricted_quadratic_global,0.15,0.6000000000000001,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.79120879120879,0.008241758241758323,0.008241758241758242,8.153200337090993e-17,9.892549742336973e-15
restricted_quadratic_global,0.15,0.6000000000000001,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.79120879120879,0.021098901098901113,0.0210989010989011,1.3877787807814457e-17,6.577493179745389e-16
restricted_quadratic_global,0.15,0.65,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.79120879120879,0.0013186813186812918,0.0013186813186813187,2.688821387764051e-17,2.0390228857211136e-14
restricted_quadratic_global,0.15,0.65,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.79120879120879,0.008241758241758212,0.008241758241758242,2.949029909160572e-17,3.5781562897815065e-15
